,,,,,,,,,Total Counting Stats,,,,,,,,REC Yards ,,,,,Yards/Team Att (Rec and Rush),,,,,Total Dominator (Rush and Rec),,,,TDOa (Total Dominator over average),,,,PPR Pts,,,,PPR PPG,,,,Models,,,,"TDOa Diff from AVG Total Dominator REC and Rush Yards + Touchdown MS (>1 top 1 top 24 season, 2003-2016)",,,,,,Combine,,,,,,,,,,,,,,NFL Career Marks since 2000,,,,,
Name,my Player ID,School,Conference,DR,DP,NFL POS,Draft Year,Age IN DRAFT YEAR (9/1/dy),Years Played,rec,Touches,All Yards,YPTch,G,Years >= 20 Recs,REC/g,rec yards  First,rec yards  Best,rec yards  Last,rec yards  AVG,RUSH AVG,yards per team att  First,yards per team att  Best,yards per team att  Last,yards per team att  AVG,Rush College Dominator Rating,total dominator First,total dominator Last,total dominator Best,total dominator AVG,TDOa First,TDOa Last,TDOa Best,TDOa AVG,ppr pts First,Last,ppr pts Best,ppr pts AVG,ppr ppg First,ppr ppg Last,ppr ppg Best,ppr ppg AVG,Production Score (Pos Specific),Combine Score,Post Draft,PRE-DRAFT,18,19,20,21,22,23,BMI,SPORK (discount SPAQ-x),40 time,height,weight,Bench,Verticle,Broad,Shuttle,3 Cone,WaSS,HaSS,Hand Size,Arm Length,# of top 5  finishes,# of top  12 finishes,# of top  24 finishes,# of top  36 finishes,# of 1000 Rush yards seasons,AVG PPG (PPR) Season 1-3
Laurence Maroney,Maroney0621RB,Minnesota,Big Ten,1,21,RB,2006,21,3,21.0,681.0,4130.0,6.1,36.0,0,0.6,1.0,10.4,10.4,4.8,95.2,1.2,1.8,1.8,1.5,40.0,13.0,21.4,21.4,18.6,4.5,1.1,5.5,3.7,174.20,246.40,246.40,210.67,13.40,22.40,22.40,17.81,1.7,132.1,10.57,8.78,4.5,5.5,1.1,,,,29.5326437,NA,4.53,71.875,217,21,36,123,NA,NA,103.0616097,98.38415938,8.75,30.875,0,0,0,2,0,7.993333333
Lendale White,White0645RB,USC,Pac-10,2,45,RB,2006,21,3,31.0,572.0,3490.0,6.1,38.0,0,0.8,2.0,14.4,14.4,9.5,90.5,0.9,1.5,1.5,1.2,49.6,26.2,24.4,27.9,26.2,17.7,4.2,17.7,11.3,166.90,322.10,322.10,240.67,13.91,24.78,24.78,18.87,5.1,39.7,9.98,8.82,17.7,12.0,4.2,,,,31.94464829,NA,NA,72.375,238,15,NA,NA,NA,NA,NA,NA,9.25,30.75,0,0,2,2,1,9.03
Jerious Norwood,Norwood0679RB,Mississippi State,SEC,3,79,RB,2006,23,4,43.0,616.0,3408.0,5.5,46.0,0,0.9,10.7,10.7,7.8,5.5,94.5,0.5,1.8,1.8,1.2,70.0,7.3,41.6,41.6,23.9,-8.6,34.6,34.6,9.1,49.10,190.20,190.20,121.45,4.09,17.29,17.29,10.79,-0.2,172.3,9.58,9.55,,-8.6,-5.2,15.5,34.6,,28.77983715,NA,4.33,71.625,210,16.5,36.5,122,4.26,6.81,119.4806853,113.2587293,9.25,31.875,0,0,0,0,0,7.84
Joseph Addai,Addai0630RB,LSU,SEC,1,30,RB,2006,23,5,66.0,556.0,3217.0,5.8,50.0,2,1.3,0.0,30.2,16.5,19.9,80.1,0.0,1.3,1.3,0.7,44.6,0.4,25.0,25.0,12.7,-8.1,18.0,18.0,-0.8,2.70,189.10,189.10,106.34,1.35,14.55,14.55,8.97,-2.8,151.2,9.47,7.41,-8.1,-5.4,-11.8,3.3,18.0,,29.63755298,NA,4.41,71.25,214,18,38.5,125,4.48,7.1,113.1590808,106.1486382,9.125,32,1,2,3,3,3,15.16
Brian Calhoun,Calhoun0674RB,Wisconsin,Big Ten,3,74,RB,2006,22,3,90.0,709.0,3669.0,5.2,36.0,2,2.5,18.7,25.9,25.9,24.8,75.2,0.4,2.5,2.5,1.4,72.6,4.9,43.4,43.4,25.6,-3.6,27.4,27.4,12.1,49.60,417.70,417.70,214.30,4.51,32.13,32.13,17.09,3.4,123.0,8.09,7.03,-3.6,12.6,,27.4,,,29.46828146,NA,4.58,69.25,201,18,31.5,124,4.24,7.05,91.36169348,80.94414157,10.25,31.375,0,0,0,0,0,2.675
Jerome Harrison,Harrison06145RB,Washington State,Pac-10,5,145,RB,2006,23,2,34.0,516.0,3075.0,6.0,22.0,1,1.5,7.1,9.8,9.8,8.9,91.1,1.2,2.6,2.6,1.9,80.4,33.3,42.9,42.9,38.1,17.3,35.9,35.9,26.6,160.90,336.60,336.60,248.75,14.63,30.60,30.60,22.61,4.2,124.2,6.80,7.86,,,,17.3,35.9,,29.46828146,NA,4.51,69.25,201,19,34.5,124,4.08,6.79,97.16724417,86.08771213,9.5,32.625,0,0,0,1,0,3.716666667
Leon Washington,Washington06117RB,Florida State,ACC,4,117,RB,2006,24,4,55.0,424.0,2522.0,5.9,39.0,1,1.4,11.1,38.3,38.3,19.1,80.9,0.3,1.2,0.8,0.7,33.6,4.1,15.3,22.3,12.3,-11.8,8.3,8.3,-2.5,42.70,118.70,160.10,96.30,4.74,10.79,16.01,9.66,-3.3,126.9,6.50,6.27,,-11.8,-12.9,6.3,8.3,,30.67430133,NA,4.43,67.875,201,17,32.5,105,4.37,6.96,104.3785233,88.83732074,8.875,30.5,0,0,0,1,0,8.726666667
Michael Robinson,Robinson06100RB,Penn State,Big Ten,4,100,RB,2006,23,4,52.0,421.0,2266.0,5.4,45.0,1,1.2,14.3,73.8,0.0,27.8,72.2,0.4,1.0,1.0,0.7,34.5,6.8,17.3,17.3,13.5,-9.1,10.3,10.3,-1.3,80.65,322.10,322.10,166.04,6.20,26.84,26.84,14.83,-2.2,NA,6.15,5.05,,-9.1,-7.1,0.6,10.3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,3.173333333
Wali Lundy,Lundy06170RB,Virginia,ACC,6,170,RB,2006,22,4,114.0,856.0,4088.0,4.8,49.0,2,2.3,34.5,34.5,9.7,21.9,78.1,1.4,1.4,0.8,1.2,48.9,27.3,23.0,34.3,26.6,18.8,7.0,18.8,11.4,250.00,144.60,250.00,211.40,17.86,13.15,19.68,17.15,5.7,129.4,5.86,7.40,18.8,18.4,1.3,7.0,,,29.8466356,NA,4.55,71,214,18,35,111,4.37,7.01,99.86152234,93.0180957,9.25,32,0,0,0,0,0,11.35
Quinton Ganther,Ganther06246RB,Utah,MWC,7,246,RB,2006,22,2,32.0,346.0,2137.0,6.2,23.0,1,1.4,7.0,21.9,21.9,17.0,83.0,0.8,1.6,1.6,1.2,45.4,8.3,25.9,25.9,17.1,-12.0,9.9,9.9,-1.1,95.30,216.40,216.40,155.85,7.94,19.67,19.67,13.81,-1.5,116.0,4.00,7.54,,,-12.0,9.9,,,31.73110468,NA,4.56,69.5,218,29,35,119,NA,7.21,100.8386722,90.00095071,9.5,30.75,0,0,0,0,0,1.735
Lawrence Vickers,Vickers06180RB,Colorado,Big 12,6,180,RB,2006,23,4,70.0,241.0,1207.0,5.0,36.0,2,1.9,21.9,55.2,37.1,47.4,52.6,0.0,0.6,0.5,0.3,38.9,0.3,24.1,24.1,9.9,-15.6,17.1,17.1,-4.9,4.20,133.00,133.00,70.18,2.10,10.23,10.23,6.46,-4.5,133.3,2.90,3.18,,-15.6,-14.7,-6.2,17.1,,32.99808135,NA,4.84,72.25,245,21,31.25,104,4.64,7.75,89.29242824,86.14943621,9.875,32.75,0,0,0,0,0,2.126666667
Mike Bell,Bell060RB,Arizona,Pac-10,UDFA,UDFA,RB,2006,23,4,56.0,735.0,3626.0,4.9,45.0,0,1.2,29.1,29.1,17.1,12.9,87.1,0.6,1.6,1.6,1.2,60.9,22.1,29.9,32.9,29.0,6.2,22.9,22.9,14.2,73.10,162.90,162.90,131.65,6.09,14.81,14.81,11.83,4.4,136.8,0.00,6.60,,6.2,10.8,16.9,22.9,,29.76561624,NA,4.66,72.25,221,20,32.25,113,4.21,7.06,93.72999688,90.41579891,9.375,32,0,0,0,1,0,5.706666667
PJ Pope,Pope060RB,Bowling Green State,MAC,UDFA,UDFA,RB,2006,22,4,133.0,728.0,4264.0,5.9,46.0,3,2.9,8.3,30.9,28.4,26.9,73.1,0.7,1.8,0.7,1.1,41.8,9.8,14.3,36.5,20.2,1.3,-1.7,16.2,5.0,100.90,117.90,334.80,201.35,9.17,13.10,27.90,17.04,3.3,NA,0.00,8.89,1.3,4.3,16.2,-1.7,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,8.13
Chris Taylor,Taylor060RB,Indiana,Big Ten,UDFA,UDFA,RB,2006,22,4,32.0,434.0,2009.0,4.6,38.0,0,0.8,16.7,16.8,6.2,12.3,87.7,0.3,1.0,1.0,0.6,47.8,8.6,24.4,24.4,15.9,0.1,8.4,8.4,0.7,43.50,117.90,117.90,77.73,7.25,10.72,10.72,8.09,-0.5,NA,0.00,5.14,0.1,2.7,-8.4,8.4,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,4.525
Patrick Cobbs,Cobbs060RB,North Texas,Sun Belt,UDFA,UDFA,RB,2006,23,5,37.0,855.0,4398.0,5.1,48.0,0,0.8,29.3,29.3,8.4,7.9,92.1,0.8,2.2,1.9,1.2,74.0,14.1,38.8,38.8,21.7,5.6,31.9,31.9,8.2,82.40,185.65,300.80,141.79,7.49,16.88,27.35,12.97,3.8,NA,0.00,8.54,5.6,1.4,17.5,-15.4,31.9,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,4.525
Ahmard Hall,Hall060RB,Texas,Big 12,UDFA,UDFA,RB,2006,26,0,0.0,0.0,0.0,0.0,0.0,0,,#N/A,0.0,0.0,#DIV/0!,#DIV/0!,#N/A,0.0,0.0,#DIV/0!,0.0,#N/A,-,0.0,#DIV/0!,#N/A,-,0.0,-,-,-,0.00,-,-,-,0.00,-,0.0,129.1,0.00,0.00,,,,,,,31.16595931,NA,4.45,68.5,208,18,33,113,4.25,7.39,106.0848305,91.96776617,NA,NA,0,0,0,0,0,2.93
JJ Arrington,Arrington0544RB,California,Pac-10,2,44,RB,2005,22,2,42.0,438.0,2924.0,6.7,25.0,2,1.7,22.7,22.7,5.7,10.2,89.8,0.8,2.6,2.6,1.7,57.5,14.7,29.8,29.8,22.3,-5.5,13.8,13.8,4.1,147.50,324.90,324.90,236.20,11.35,27.08,27.08,19.21,0.1,130.7,10.89,10.20,,,-5.5,13.8,,,31.716763,NA,4.46,68.875,214,18,35,121,4.1,6.81,108.1693784,94.81046106,NA,NA,0,0,0,0,0,4.11
Cedric Benson,Benson054RB,Texas,Big 12,1,4,RB,2005,22,4,69.0,1181.0,6161.0,5.2,48.0,2,1.4,16.2,16.2,8.9,10.1,89.9,1.4,2.3,2.3,1.7,55.4,26.8,28.6,32.0,28.4,18.4,12.6,18.4,13.3,220.60,343.30,343.30,271.78,20.05,28.61,28.61,22.69,6.3,121.8,10.82,8.49,18.4,16.1,6.0,12.6,,,31.40313801,NA,4.67,70.5,222,21,33,NA,4.35,7.55,93.35024194,85.73710791,9,31.75,0,0,3,4,3,7.023333333
Ronnie Brown,Brown052RB,Auburn,SEC,1,2,RB,2005,23,5,58.0,571.0,3375.0,5.9,46.0,1,1.3,0.0,25.5,25.5,19.8,80.2,0.0,1.4,1.4,0.8,36.7,0.1,20.6,22.7,12.4,-8.4,13.6,13.6,-1.2,1.00,210.60,210.60,115.10,1.00,17.55,17.55,10.12,-1.5,138.3,10.67,8.18,-8.4,-6.9,2.5,-6.7,13.6,,31.38184879,121.9,4.48,72.25,233,18,34,117,4.14,7.12,115.6841502,111.6034146,8.625,31,0,0,4,5,3,17.10333333
Ryan Moats,Moats0577RB,Louisiana Tech,WAC,3,77,RB,2005,22,3,48.0,547.0,3553.0,6.5,32.0,1,1.5,66.1,66.1,6.1,12.4,87.6,0.1,2.4,2.4,1.5,73.7,1.2,39.8,40.3,27.1,-14.7,23.8,23.8,9.7,17.20,318.00,318.00,194.43,2.15,26.50,26.50,16.44,2.3,117.2,10.48,10.88,,-14.7,20.1,23.8,,,31.69657164,NA,4.49,68.25,210,19,36,117,4.11,7.22,103.3389219,88.93553242,NA,NA,0,0,0,0,0,5.06
Carnell Williams,Williams055RB,Auburn,SEC,1,5,RB,2005,23,4,45.0,786.0,4173.0,5.3,42.0,1,1.1,18.6,18.6,11.5,8.2,91.8,1.0,1.6,1.6,1.3,50.4,19.5,25.7,27.1,21.8,3.6,18.8,18.8,7.1,124.40,236.15,240.65,186.18,13.82,18.17,20.50,17.75,1.0,132.8,10.25,7.63,,3.6,-5.2,11.1,18.8,,30.37189553,NA,4.5,70.875,217,19,35.5,118,4.15,6.94,105.8375248,98.23985891,9.375,32.125,0,0,1,4,1,11.30666667
Eric Shelton,Shelton0554RB,Louisville,CUSA,2,54,RB,2005,22,3,7.0,348.0,1912.0,5.5,30.0,0,0.2,0.0,3.6,3.6,2.8,97.2,0.2,1.1,1.1,0.7,36.9,3.3,18.7,18.7,12.0,-5.2,2.7,2.7,-2.9,19.00,223.30,223.30,128.07,2.38,18.61,18.61,11.72,-1.6,122.2,8.79,7.31,-5.2,,-6.3,2.7,,,32.01538555,NA,4.54,73.5,246,18,38.5,124,4.08,7.46,115.8088346,115.6358275,NA,NA,-,-,-,-,-,-
Darren Sproles,Sproles05130RB,Kansas State,Big 12,4,130,RB,2005,22,4,66.0,881.0,5588.0,6.3,45.0,2,1.5,0.0,14.5,14.5,10.9,89.1,0.2,2.2,2.0,1.5,53.9,2.6,29.8,29.8,20.1,-5.9,13.8,13.8,4.9,27.00,252.10,360.30,226.70,4.50,22.92,24.02,18.00,1.8,96.2,8.71,10.24,-5.9,3.9,7.8,13.8,,,30.06827709,127.5,4.46,66.125,187,23,33,105,3.96,6.96,94.52184003,76.33771169,9.625,30.375,1,1,4,8,0,3.345
Frank Gore,Gore0565RB,Miami (FL),ACC,3,65,RB,2005,22,3,23.0,371.0,2200.0,5.9,27.0,0,0.9,2.4,18.3,10.1,10.2,89.8,0.8,1.3,1.3,0.9,54.3,11.4,28.1,28.1,17.0,2.9,12.1,12.1,2.1,88.60,163.10,163.10,115.00,8.86,13.59,18.66,13.70,-0.4,119.2,7.71,6.08,2.9,,-8.8,12.1,,,30.67690983,108.1,4.63,69.375,210,NA,34,109,4.16,6.96,91.39560801,81.27382278,10.125,30.5,1,5,12,12,12,14.77
Marion Barber,Barber05109RB,Minnesota,Big Ten,4,109,RB,2005,22,4,21.0,596.0,3466.0,5.8,38.0,0,0.6,2.5,26.6,2.1,5.5,94.5,1.0,1.5,1.5,1.0,39.5,16.7,20.1,20.1,14.0,8.2,4.1,8.2,-1.2,120.10,206.80,247.25,146.64,10.92,17.23,19.02,13.34,-1.6,129.0,7.37,7.31,8.2,-15.0,-2.0,4.1,,,30.4998946,NA,4.54,71.375,221,20,40,127,4.22,NA,104.0396441,97.94270563,NA,NA,0,1,4,4,3,12.83
Ciatrick Fason,Fason05112RB,Florida,SEC,4,112,RB,2005,22,3,46.0,361.0,2285.0,6.3,28.0,1,1.6,0.0,19.6,17.4,17.9,82.1,0.0,1.9,1.9,0.9,58.8,1.6,33.2,33.2,17.0,-14.3,17.2,17.2,-0.4,8.70,260.30,260.30,129.50,1.74,21.69,21.69,11.43,-2.2,147.9,6.93,6.73,,-14.3,-4.1,17.2,,,27.49809813,NA,4.63,72.75,207,NA,NA,NA,NA,NA,90.08995646,88.10245614,9.125,31.75,0,0,0,0,0,4.095
Alvin Pearman,Pearman05127RB,Virginia,ACC,4,127,RB,2005,23,4,138.0,638.0,3790.0,5.9,44.0,4,3.1,43.3,44.6,27.9,36.8,63.2,0.8,1.7,1.7,1.1,32.8,17.8,23.6,23.6,19.3,9.3,7.6,9.3,4.2,114.40,238.90,238.90,169.75,11.44,19.91,19.91,14.94,1.4,121.3,6.60,6.83,9.3,-3.4,3.1,7.6,,,30.38474878,NA,4.63,69.375,208,24,34.75,117,4.105,7.015,90.52517365,80.4983486,NA,NA,0,0,0,0,0,2.943333333
Damien Nash,Nash05142RB,Missouri,Big 12,5,142,RB,2005,23,2,36.0,289.0,1535.0,5.3,23.0,1,1.6,18.5,18.5,18.2,18.3,81.7,0.6,1.2,1.2,0.9,48.6,9.9,27.6,27.6,18.8,-6.1,20.7,20.7,7.3,103.70,170.05,170.05,136.88,7.98,17.01,17.01,12.49,1.0,115.8,5.13,5.14,,,,-6.1,20.7,,31.5040492,NA,4.6,69.75,218,18,30,112,4.21,6.78,97.37672464,87.53802335,9.5,31,0,0,0,0,0,4.9
VerNAd Morency,Morency0573RB,Oklahoma State,Big 12,3,73,RB,2005,25,2,6.0,199.0,1205.0,6.1,17.0,0,0.4,-0.7,2.1,2.1,1.5,98.5,0.3,1.1,1.1,0.7,27.8,6.5,14.1,14.1,10.3,-0.5,13.9,13.9,6.7,46.70,145.80,145.80,96.25,7.78,13.25,13.25,10.52,1.1,125.5,4.80,1.84,,,,,-0.5,13.9,30.74707108,NA,4.685,69.625,212,19,33.5,108,4.2,7.02,88.0090789,78.8293128,NA,NA,0,0,0,0,0,5.813333333
Cedric Houston,Houston05182RB,Tennessee,SEC,6,182,RB,2005,23,4,39.0,540.0,3003.0,5.6,39.0,0,1.0,0.0,15.3,15.2,12.3,87.7,0.1,1.3,1.3,0.9,39.5,2.7,22.3,22.3,14.4,-13.2,15.3,15.3,-0.4,16.60,188.50,188.50,111.83,5.53,14.50,14.50,10.30,-2.0,120.3,4.35,5.52,,-13.2,-2.0,-1.6,15.3,,31.60297278,NA,4.66,70.75,225,NA,35,120,4.55,7.33,95.42646742,88.26926531,NA,NA,0,0,0,0,0,8.035
Noah Herron,Herron05244RB,Northwestern,Big Ten,7,244,RB,2005,23,4,72.0,534.0,3305.0,6.2,39.0,1,1.8,31.6,33.5,20.3,23.6,76.4,0.1,1.9,1.9,0.9,63.5,0.6,36.9,36.9,17.7,-15.3,30.0,30.0,2.9,7.70,299.20,299.20,142.63,3.85,24.93,24.93,12.44,-2.3,173.7,2.68,5.40,,-15.3,-6.9,3.8,30.0,,28.19105841,NA,4.755,70.625,200,17,31,108,4.03,6.96,78.24523626,72.1055764,9,31.25,0,0,0,0,0,5.005
Jarrett Payton,Payton050RB,Miami (FL),Big East,UDFA,UDFA,RB,2005,24,3,22.0,268.0,1407.0,5.3,27.0,0,0.8,42.2,42.2,12.1,12.7,87.3,0.1,1.2,1.2,0.5,40.3,2.5,23.0,23.0,9.3,-17.8,16.1,16.1,-5.1,19.50,177.10,177.10,73.90,3.25,14.76,14.76,6.93,-3.0,NA,0.00,4.81,,,-17.8,-13.6,16.1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,3.5
Ran Carthon,Carthon050RB,Florida,SEC,UDFA,UDFA,RB,2005,24,4,56.0,326.0,1864.0,5.7,41.0,2,1.4,57.1,57.1,23.7,27.4,72.6,0.1,0.9,0.9,0.5,30.5,0.9,17.9,17.9,9.4,-15.0,10.9,10.9,-5.4,9.70,141.00,141.00,78.60,1.62,11.75,11.75,6.74,-4.7,NA,0.00,4.46,,-15.0,-16.5,-1.0,10.9,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,4.835
Tyson Thompson,Thompson050RB,San Jose State,WAC,UDFA,UDFA,RB,2005,24,1,16.0,167.0,1042.0,6.2,11.0,0,1.5,22.2,22.2,22.2,22.2,77.8,1.5,1.5,1.5,1.5,34.1,23.4,23.4,23.4,23.4,23.1,23.1,23.1,-,162.20,162.20,162.20,-,14.75,14.75,14.75,-,0.2,NA,0.00,0.00,,,,,,23.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,2.55
Reggie Brown,Brown0535WR,Georgia,SEC,2,35,WR,2005,24,5,144.0,155.0,2095.0,13.5,45.0,3,3.2,116.3,116.3,96.1,95.8,4.2,0.2,1.1,1.1,0.5,1.4,3.0,13.9,13.9,6.5,#N/A,-,0.0,-,31.30,178.50,178.50,85.10,5.22,14.88,14.88,8.15,0.0,131.5,0.00,0.00,,,,,,,25.42165164,NA,4.495,73.625,196,NA,41.5,128,4,6.99,96.02123396,96.16776852,9.625,32,0,0,0,2,0,9.806666667
Madison Hedgecock,Hedgecock05251RB,North Carolina,ACC,7,251,RB,2005,24,3,6.0,40.0,172.0,4.3,12.0,0,0.5,0.0,38.9,22.9,24.4,75.6,0.0,0.2,0.2,0.1,8.0,0.0,4.4,4.4,1.6,-15.9,-2.6,-2.6,-12.8,0.10,31.30,31.30,11.73,0.10,3.91,3.91,1.76,-6.3,160.8,-0.21,1.17,,-15.9,-20.0,,-2.6,,33.24737923,NA,4.97,75,266,29,32.5,108,4.26,7.42,87.19389482,90.66622123,NA,NA,0,0,0,0,0,1.45
Willis McGahee,McGahee0423RB,Miami (FL),Big East,1,23,RB,2004,22,2,28.0,377.0,2415.0,6.4,20.0,1,1.4,-2.3,16.8,16.8,14.4,85.6,0.4,2.4,2.4,1.4,79.1,6.4,42.0,42.0,24.2,-9.5,21.7,21.7,6.1,49.70,405.80,405.80,227.75,7.10,31.22,31.22,19.16,2.3,NA,11.22,9.88,,-9.5,21.7,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,4,6,5,13.32666667
Steven Jackson,Jackson0424RB,Oregon State,Pac-10,1,24,RB,2004,21,4,24.0,417.0,2312.0,5.5,24.0,0,1.0,10.3,100.0,100.0,10.0,90.0,0.6,1.9,0.0,0.6,39.5,17.2,0.1,42.6,15.0,8.7,-15.9,26.7,-0.2,84.50,1.60,304.50,98.30,9.39,1.60,23.42,9.25,1.4,119.3,10.33,8.52,8.7,26.7,-20.2,-15.9,,,31.36466633,122.6,4.6,73.5,241,16,37.5,118,4.14,7.08,107.6504158,107.4862601,8.875,31.75,1,5,8,11,8,16.38333333
Kevin Jones,Jones0430RB,Virginia Tech,Big East,1,30,RB,2004,22,3,24.0,640.0,3704.0,5.8,37.0,0,0.6,4.7,8.9,8.9,6.2,93.8,1.3,2.2,2.2,1.5,61.9,17.2,32.6,32.6,21.2,8.7,12.3,12.3,6.3,136.40,320.80,320.80,201.47,12.40,24.68,24.68,16.13,2.9,184.2,10.32,8.74,8.7,-2.0,12.3,,,,30.67979916,NA,NA,72.125,227,NA,38,NA,NA,NA,NA,NA,NA,NA,0,1,3,4,1,13.95333333
Tatum Bell,Bell0441RB,Oklahoma State,Big 12,2,41,RB,2004,23,4,36.0,670.0,3668.0,5.5,40.0,0,0.9,14.3,14.3,4.5,7.0,93.0,0.4,1.6,1.6,1.1,57.9,6.0,23.6,35.9,23.2,-10.0,16.6,16.6,8.4,40.40,239.60,239.60,154.70,5.05,21.78,21.78,14.73,2.0,141.9,10.00,8.69,,-10.0,15.7,11.2,16.6,,29.56769508,NA,4.445,71,212,25,38.5,117,NA,NA,108.6122462,101.16744,NA,NA,0,0,0,2,2,10.01666667
Mewelde Moore,Moore04119RB,Tulane,CUSA,4,119,RB,2004,22,4,189.0,1099.0,6423.0,5.8,44.0,4,4.3,28.2,34.7,30.8,32.1,67.9,1.4,2.4,1.6,1.8,65.5,23.9,33.1,50.5,36.7,15.4,17.1,34.6,21.6,175.70,225.30,372.70,262.00,17.57,25.03,31.06,23.69,11.3,139.0,9.82,11.53,15.4,34.6,19.2,17.1,,,29.45965603,NA,4.67,70.625,209,NA,35,118,4.12,7.05,87.88378633,80.99450144,NA,NA,0,0,0,2,0,10.01
Chris Perry,Perry0426RB,Michigan,Big Ten,1,26,RB,2004,22,4,64.0,858.0,4226.0,4.9,45.0,1,1.4,0.0,18.0,18.0,13.5,86.5,0.5,2.0,2.0,1.1,67.5,9.7,38.3,38.3,21.9,1.2,22.3,22.3,6.7,71.70,368.10,368.10,183.15,7.97,28.32,28.32,15.09,1.7,128.2,9.37,7.10,1.2,-5.7,9.2,22.3,,,30.37954974,NA,4.61,72,224,NA,34.5,124,4.13,7.07,99.19146679,95.0247332,NA,NA,0,0,0,1,0,5.163333333
Michael Turner,Turner04154RB,Northern Illinois,MAC,5,154,RB,2004,22,4,43.0,983.0,5392.0,5.5,45.0,0,1.0,4.4,16.1,12.2,8.4,91.6,1.3,2.5,2.2,1.7,79.6,15.3,43.8,43.8,28.1,6.8,27.8,27.8,12.9,148.80,308.80,325.50,214.55,13.53,25.73,27.13,18.47,4.8,130.4,9.26,12.07,6.8,-3.6,20.5,27.8,,,33.52497166,NA,4.5,70.5,237,22,31,114,4.15,7.5,115.5921353,106.176691,NA,NA,0,1,4,5,4,3.8
Julius Jones,Jones0443RB,Notre Dame,Ind,2,43,RB,2004,23,3,25.0,584.0,2803.0,4.8,32.0,0,0.8,7.1,7.4,4.0,5.7,94.3,1.0,1.5,1.5,1.2,72.2,15.0,36.7,36.7,25.7,6.5,20.7,20.7,12.2,118.70,202.10,202.10,149.77,11.87,16.84,16.84,13.85,3.8,120.9,9.01,7.23,6.5,9.5,,20.7,,,31.35953521,NA,4.54,69.75,217,NA,37.5,121,4.12,6.97,102.1565736,91.8341752,NA,NA,0,0,1,3,2,14.21666667
Greg Jones,Jones0455RB,Florida State,ACC,2,55,RB,2004,23,4,24.0,504.0,2688.0,5.3,40.0,0,0.6,5.7,7.8,7.8,5.7,94.3,0.3,1.0,0.7,0.8,37.6,5.3,17.8,19.5,15.4,-10.6,10.9,10.9,0.6,42.20,118.00,159.20,107.70,6.03,9.08,17.69,10.73,-1.3,73.1,7.60,5.50,,-10.6,-1.2,3.5,10.9,,32.51632277,NA,NA,73.375,249,NA,NA,NA,NA,NA,NA,NA,10,32,0,0,0,0,0,4.555
Cedric Cobbs,Cobbs04128RB,Arkansas,SEC,4,128,RB,2004,23,4,15.0,488.0,2428.0,5.0,34.0,0,0.4,8.2,8.2,2.5,3.2,96.8,0.4,1.5,1.5,0.7,35.8,10.3,18.1,18.1,11.5,-5.6,11.2,11.2,-3.3,57.70,203.40,203.40,98.95,19.23,16.95,19.23,12.63,-2.3,151.7,4.56,3.67,,-5.6,-8.4,-10.2,11.2,,30.13918595,NA,4.755,72.125,223,NA,40,123,NA,NA,87.24343843,83.86867479,NA,NA,0,0,0,0,0,1.2
Bruce Perry,Perry04242RB,Maryland,ACC,7,242,RB,2004,23,3,54.0,492.0,2765.0,5.6,27.0,1,2.0,22.4,22.4,5.6,17.0,83.0,1.9,1.9,0.8,1.0,33.7,27.9,13.7,27.9,15.4,7.6,6.7,7.6,0.9,272.10,119.50,272.10,148.17,24.74,11.95,24.74,15.17,0.9,NA,3.68,6.89,,,7.6,-11.5,6.7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-
Thomas Tapeh,Tapeh04162RB,Minnesota,Big Ten,5,162,RB,2004,24,4,18.0,429.0,2170.0,5.1,38.0,0,0.5,9.5,13.1,13.1,9.8,90.2,0.5,1.1,0.7,0.6,26.9,8.7,10.6,20.4,11.2,-11.6,10.3,13.5,0.4,66.20,139.85,165.20,101.11,9.46,10.76,12.71,9.89,-1.3,142.4,3.28,3.04,,,-11.6,-10.8,13.5,10.3,31.99397221,NA,4.825,73.375,245,23,32.5,114,4.52,7.65,90.40798905,89.96535902,NA,NA,0,0,0,0,0,1.965
